原专业,近义词1,近义词2,近义词3,近义词4,近义词5,近义词6,
 国际经济与贸易(国际组织人才基地班、与法学双学士学位项目), 国际经济与贸易,国贸,,,,,
 经济学类(国际经济与贸易、财政学、税收学), 经济学类,国贸,财政,税收,财政学,税收学,
 法学类(法学、法学(与大数据专业双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)), 法学类,法学,法律,法学大数据,法律大数据,,
 供应链管理(与金融学专业双学士学位项目), 供应链管理,,,,,,
 经济统计学, 经济统计学,经济统计,统计经济,统计经济学,,,
 金融学类(金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学), 金融学类,金融,金融学,投资,保险,投资学,保险学
 工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理), 工商管理类,,,,,,
 金融工程(量化金融实验班), 金融工程,量化,金融量化,量化金融,,,
 金融工程, 金融工程,金工,,,,,
 金融科技, 金融科技,金科,,,,,
 数字经济, 数字经济,,,,,,
 金融数学, 金融数学,金数,,,,,
 数据科学与大数据技术, 数据科学与大数据技术,大数,大数据,,,,
 统计学, 统计学,统计,,,,,
 精算学, 精算学,精算,,,,,
 德语, 德语,,,,,,
 法语(含与国贸专业双学士学位项目), 法语,,,,,,
 日语, 日语,,,,,,
 西班牙语, 西班牙语,,,,,,
 俄语(含与国贸专业双学士学位项目), 俄语,,,,,,
 阿拉伯语(含与国贸专业双学士学位项目), 阿拉伯语,,,,,,
 朝鲜语(含与国贸专业双学士学位项目), 朝鲜语,,,,,,
 外国语言文学类(商务英语、翻译、英语、英语(与金融学专业双学士学位项目)、英语(与法学专业双学士学位项目)), 外国语言文学类,商英,上午英语,翻译,英语,,
 人工智能, 人工智能,,,,,,
 意大利语, 意大利语,,,,,,
 波斯语, 波斯语,,,,,,
 越南语, 越南语,,,,,,
 国际商务(数字贸易方向), 国际商务,数贸,,,,,
 政治学类(国际政治、政治学与行政学、政治学与行政学(与金融学专业双学士学位项目)、国际政治(与英语专业双学士学位项目)), 政治学类,国际政治,政治学与行政学,政治学,行政学,,
 公共管理类(海关管理、行政管理、公共事业管理、文化产业管理), 公共管理类,海关管理,行政管理,公共事业管理,文化产业管理,,
 经济学类, 经济学类,,,,,,
 网络与新媒体, 网络与新媒体,,,,,,
 希腊语, 希腊语,,,,,,
 电子商务类(电子商务、信息管理与信息系统), 电子商务类,电商,电子商务,信息管理与信息系统,信管,,
